"Time","Year",2014,2014.5,2015,2015.5,2016,2016.5,2017,2017.5,2018,2018.5,2019,2019.5,2020,2020.5,2021,2021.5,2022,2022.5,2023,2023.5,2024,2024.5,2025,2025.5,2026,2026.5,2027,2027.5,2028,2028.5,2029,2029.5,2030,2030.5,2031,2031.5,2032,2032.5,2033,2033.5,2034,2034.5,2035,2035.5,2036,2036.5,2037,2037.5,2038,2038.5,2039,2039.5,2040
"Chance landless households migrate[Service hh,Normal]","dml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut farm[Small]","household",35,36.5172,38.0243,39.5226,41.0401,42.5766,44.0777,45.5403,46.9868,48.412,49.8037,51.1505,52.4241,53.5831,54.5443,55.2859,55.8807,56.343,56.6873,56.9328,57.1,57.2088,57.2763,57.3163,57.3394,57.3521,57.3583,57.3612,57.3627,57.3635,57.3638,57.364,57.3641,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642,57.3642
"Coconut farm[Medium]","household",10,10.9446,11.8856,12.8234,13.7802,14.7551,15.7055,16.6223,17.5092,18.3697,19.2109,20.0396,20.8766,21.7242,22.5408,23.2836,24.0022,24.7115,25.4151,26.1139,26.808,27.4976,28.1827,28.8633,29.5527,30.2516,30.925,31.5375,32.1301,32.7151,33.3067,33.9062,34.4838,35.0091,35.5174,36.0191,36.5266,37.0407,37.5361,37.9867,38.4227,38.853,39.2882,39.7292,40.1541,40.5406,40.9145,41.2836,41.6569,42.0352,42.3996,42.7311,43.0518
"Coconut farm[Large]","household",2,2.11631,2.23228,2.34792,2.46546,2.58462,2.70092,2.81442,2.92759,3.04043,3.15294,3.26513,3.37917,3.49478,3.60761,3.71772,3.82752,3.93699,4.04615,4.155,4.26352,4.37174,4.47964,4.58723,4.69659,4.80747,4.91567,5.02127,5.12656,5.23155,5.33827,5.44646,5.55205,5.65509,5.75784,5.86029,5.96443,6.07,6.17304,6.27359,6.37385,6.47382,6.57544,6.67846,6.77901,6.87713,6.97497,7.07252,7.17168,7.27221,7.37033,7.46608,7.56155
"Coconut farmer migrates[Small]","household/Year",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut farmer migrates[Medium]","household/Year",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coconut farmer migrates[Large]","household/Year",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cost crop farming[Rice,Small]","vnd/household",7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06,7.95E+06
"Cost crop farming[Rice,Medium]","vnd/household",2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07,2.385E+07
"Cost crop farming[Rice,Large]","vnd/household",3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07,3.975E+07
"Cost crop farming[Coconut,Small]","vnd/household",6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07,6E+07
"Cost crop farming[Coconut,Medium]","vnd/household",1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08,1.8E+08
"Cost crop farming[Coconut,Large]","vnd/household",3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08,3E+08
"Cost crop farming[Maize,Small]","vnd/household",1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06,1.7E+06
